id,lounge_id,master_route_id,average_dwell_time_minutes,min_dwell_time_minutes,max_dwell_time_minutes,peak_hour_dwell_time_minutes,off_peak_dwell_time_minutes,total_stops_recorded,last_calculated_at,created_at,updated_at
2154be4a-61cf-41fb-be81-cdfabf16e3e9,dc713d96-0c0f-4195-817a-f08a1745d6d8,5be6128e-18c2-4797-a142-ea7d17be3111,4.71,2.18,5.72,5.69,3.38,451,2026-06-18 00:00:00.000000+00,2026-04-04 00:00:00.000000+00,2026-06-18 00:00:00.000000+00
b69d2f48-3653-4588-afd5-8fe765c62548,dc713d96-0c0f-4195-817a-f08a1745d6d8,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,7.32,1.12,10.7,8.03,6.46,402,2026-07-14 00:00:00.000000+00,2026-04-11 00:00:00.000000+00,2026-07-14 00:00:00.000000+00
77d468ea-e0bd-4765-96d4-4952ee29e80e,7e570ddf-8270-40a8-a369-b584ff5e9ff0,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,9.59,1.43,16.01,11.54,8.98,145,2026-07-01 00:00:00.000000+00,2026-05-04 00:00:00.000000+00,2026-07-01 00:00:00.000000+00
486dce57-6e1a-4e1b-ad1d-defa5c4fc55e,7e570ddf-8270-40a8-a369-b584ff5e9ff0,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,7.09,1.15,7.22,8.84,5.62,279,2026-07-17 00:00:00.000000+00,2026-04-05 00:00:00.000000+00,2026-07-17 00:00:00.000000+00
260c037e-305d-4ef7-8d9f-f83d70a32883,beb79919-3f22-4af8-a3be-d01d43cf2fde,9a1de644-815e-46d1-bb8f-aa1837f8a88b,10.31,2.34,10.73,12.2,8.9,65,2026-07-21 00:00:00.000000+00,2026-05-21 00:00:00.000000+00,2026-07-21 00:00:00.000000+00
8f942977-b582-4f0c-bd23-36f45b44e6ed,e27a984d-6548-41d0-bfcd-9eb1a7cad415,6b65a6a4-8b81-48f6-b38a-088ca65ed389,6.03,1.15,12.33,9.02,4.62,506,2026-06-28 00:00:00.000000+00,2026-03-06 00:00:00.000000+00,2026-06-28 00:00:00.000000+00
6a9a6f4b-2e39-429a-921f-266fc4502052,beb79919-3f22-4af8-a3be-d01d43cf2fde,371ecd7b-27cd-4130-8722-9389571aa876,6.71,1.77,7.32,8.67,5.71,88,2026-07-03 00:00:00.000000+00,2026-03-01 00:00:00.000000+00,2026-07-03 00:00:00.000000+00
a7faf009-0b39-4e89-b842-e16354555290,e27a984d-6548-41d0-bfcd-9eb1a7cad415,23b8c1e9-3924-46de-beb1-3b9046685257,7.02,1.65,12.85,9.09,6.4,473,2026-05-31 00:00:00.000000+00,2026-05-24 00:00:00.000000+00,2026-05-31 00:00:00.000000+00
48f18eed-6703-4089-878c-d2c36374ed14,7e570ddf-8270-40a8-a369-b584ff5e9ff0,23b8c1e9-3924-46de-beb1-3b9046685257,5.66,1.5,5.81,8.32,5.25,167,2026-06-10 00:00:00.000000+00,2026-03-27 00:00:00.000000+00,2026-06-10 00:00:00.000000+00
9d267076-5e44-4774-8f9d-539c6c2b5781,ff50bde4-3825-47b8-9cab-cc97663f1c97,47378190-96da-4dac-b2ff-5d2a386ecbe0,4.02,1.0,8.79,5.19,3.0,200,2026-07-18 00:00:00.000000+00,2026-03-12 00:00:00.000000+00,2026-07-18 00:00:00.000000+00
ead44e11-1397-429f-8d0d-f6f60c37eb80,dc713d96-0c0f-4195-817a-f08a1745d6d8,17fc695a-07a0-4a6e-8822-e8f36c031199,4.17,0.87,4.53,6.77,3.24,56,2026-07-06 00:00:00.000000+00,2026-04-07 00:00:00.000000+00,2026-07-06 00:00:00.000000+00
6a8f7654-1552-47c7-8b96-13466498da39,956269f0-e5d7-4875-adad-d6c795a76d79,c241330b-01a9-471f-9e8a-774bcf36d58b,1.67,0.7,9.24,3.82,1.15,314,2026-07-23 00:00:00.000000+00,2026-03-24 00:00:00.000000+00,2026-07-23 00:00:00.000000+00
d79330f1-6f8f-455c-bde5-4ee2a655596c,e27a984d-6548-41d0-bfcd-9eb1a7cad415,972a8469-1641-4f82-8b9d-2434e465e150,2.92,0.78,2.99,5.57,2.37,561,2026-06-09 00:00:00.000000+00,2026-05-23 00:00:00.000000+00,2026-06-09 00:00:00.000000+00
